Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T18:12:55.257Z,25-34,Law,Associate Attorney,100000,30000,USD,,United States,Washington,Seattle,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T18:13:02.080Z,25-34,Engineering,HSE Manager,82500,0,USD,,United States,Ohio,Columbus,11 - 20 years,8 - 10 years,Some college,Woman,White
2021-04-27T18:13:03.306Z,35-44,Law,Attorney,180000,0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T18:13:04.753Z,25-34,Education (Higher Education),Assistant Director,44000,0,USD,,United States,New Jersey,N/A,5-7 years,5-7 years,Master's degree,Non-binary,Another option not listed here or prefer not to answer
2021-04-27T18:13:11.141Z,35-44,Energy,Geologist,173000,20000,USD,,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T18:13:14.864Z,25-34,Real Estate,Map contractor,31200,0,USD,,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Non-binary,White
2021-04-27T18:13:15.313Z,18-24,Insurance,Data Analyst,82000,5000,USD,,United States,Maryland,Chevy Chase,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T18:13:16.232Z,35-44,Government and Public Administration,Public Health Advisor,83500,5000,USD,,United States,Minnesota,St. Paul,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:13:17.956Z,55-64,"Accounting, Banking & Finance",Accounts Receivable,54000,0,USD,,United States,Oklahoma,Tulsa,5-7 years,31 - 40 years,College degree,Woman,White
2021-04-27T18:13:22.659Z,35-44,Education (Higher Education),Registration Specialist,29660,0,USD,,United States,Utah,Salt Lake City,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T18:13:23.332Z,45-54,Nonprofits,Publications & Communications Manager,73500,0,USD,,United States,Georgia,Atlanta metro area,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:13:23.937Z,35-44,"Accounting, Banking & Finance",Learning and Development Specialist,83000,5000,USD,,United States,Illinois,Chicago,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T18:13:25.940Z,55-64,Business or Consulting,Director of Consolidations and Reporting,200000,0,USD,,United States,Illinois,Mount Prospect,21 - 30 years,11 - 20 years,Master's degree,Man,White
2021-04-27T18:13:26.207Z,45-54,"Accounting, Banking & Finance",Treasury Manager,102000,12000,USD,,United States,California,Sacramento,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T18:13:26.875Z,25-34,Nonprofits,Grant Writer,120000,12000,USD,,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:13:27.294Z,25-34,Education (Higher Education),Monographs & Media Cataloger,60000,12000,USD,,United States,Maryland,College Park,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:13:27.903Z,35-44,Engineering,Applications Engineer,106193,7000,USD,,United States,Colorado,Fort Collins,5-7 years,2 - 4 years,PhD,Woman,White
2021-04-27T18:13:29.159Z,35-44,Recruitment or HR,People and Business Operations Manager,65000,0,USD,,United States,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:13:33.858Z,25-34,Nonprofits,Executive Assistant,48000,0,CAD,,Canada,,Halifax,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T18:13:38.694Z,25-34,Government and Public Administration,Project Manager,103000,0,USD,,United States,Virginia,Rosslyn,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:13:39.602Z,55-64,Law,Senior Paralegal,72300,500,USD,,United States,Florida,Sunrise,31 - 40 years,31 - 40 years,Some college,Woman,White
2021-04-27T18:13:42.220Z,45-54,Education (Primary/Secondary),Teacher,87000,0,CAD,,Canada,,Calgary,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:13:43.124Z,25-34,Nonprofits,Database Manager,47500,0,USD,,United States,Colorado,Denver,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:13:44.183Z,55-64,Nonprofits,Executive Director,70000,2000,USD,,United States,Nebraska,Omaha,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:13:44.461Z,25-34,Entertainment,Senior Data Analyst,105000,2000,USD,,United States,Washington,Bellevue,5-7 years,2 - 4 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
2021-04-27T18:13:47.775Z,25-34,Health care,Group Lead,95000,25250,USD,,United States,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T18:13:49.188Z,35-44,"Accounting, Banking & Finance",Accounting Manager,82000,10000,USD,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T18:13:51.614Z,25-34,Computing or Tech,Product Content Lead,155000,10000,USD,,United States,California,San Francisco,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T18:13:53.156Z,25-34,Nonprofits,Marketing Director,105000,2000,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:13:53.651Z,35-44,Recruitment or HR,Human Resources Coordinator,72000,2500,USD,,United States,Michigan,Troy,11 - 20 years,8 - 10 years,Some college,Woman,White
2021-04-27T18:13:54.061Z,25-34,Education (Higher Education),Administrative Assistant,36000,2500,USD,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:13:56.405Z,25-34,Supply Chain,HR Specialist,61800,2500,USD,,United States,Texas,Dallas,8 - 10 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T18:13:57.216Z,35-44,Health care,Regulatory Specialist,72000,0,USD,,United States,Minnesota,Minneapolis,21 - 30 years,5-7 years,Some college,Woman,White
2021-04-27T18:13:58.768Z,35-44,"Accounting, Banking & Finance",Plant Accounting Manager,109700,0,USD,,United States,Washington,Renton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T18:14:00.859Z,25-34,Nonprofits,Visitor Services Coordinator/ Collections Manager,33150,500,USD,,United States,Maryland,,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:14:00.800Z,35-44,Retail,HR Manager,88500,8850,USD,,United States,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:14:02.699Z,25-34,Education (Higher Education),Senior International Scholar Advisor,70000,0,USD,,United States,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:14:03.560Z,25-34,Nonprofits,Annual Fund Manager,50000,1250,USD,,United States,Maine,Augusta,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:14:04.197Z,25-34,"Accounting, Banking & Finance",senior manager,106000,11000,USD,,United States,Indiana,Indianapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T18:14:04.279Z,25-34,Government and Public Administration,Senior Policy Advisor,72000,11000,CAD,,Canada,,Toronto,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T18:14:04.997Z,45-54,Education (Higher Education),Library Assistant,41000,0,USD,,United States,Texas,Fort Worth,21 - 30 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:14:05.848Z,45-54,Engineering,SALES MANAGER,117000,30000,CAD,,Canada,,Vancouver,21 - 30 years,21 - 30 years,High School,Man,White
2021-04-27T18:14:10.379Z,35-44,Law,paralegal,62000,30000,USD,,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:14:11.577Z,45-54,Beauty,Senior hair stylist,72800,4000,USD,,United States,California,Alameda,21 - 30 years,11 - 20 years,Some college,Woman,White
2021-04-27T18:14:12.084Z,35-44,Health care,Senior Content Management Consultant,140000,10000,USD,,United States,Ohio,Remote; based out of Hudson,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T18:14:13.194Z,45-54,Education (Higher Education),Office Supervisor,50000,10000,USD,,United States,Michigan,Kalamazoo,31 - 40 years,5-7 years,College degree,Woman,White
2021-04-27T18:14:16.958Z,35-44,Nonprofits,Communications Director,132000,16500,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T18:14:17.794Z,25-34,Education (Higher Education),"Executive Director, Corporate and Foundation Relations",157000,0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:14:20.970Z,25-34,Computing or Tech,Program Architect,154500,0,USD,,United States,Ohio,Rural area,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:14:21.920Z,18-24,"Accounting, Banking & Finance",Auditor Staff,58500,500,USD,,United States,Colorado,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:14:22.537Z,35-44,Engineering,Environmental Scientist,90000,1500,USD,,United States,Pennsylvania,Allentown,11 - 20 years,11 - 20 years,College degree,Woman,White
